operation,national,measure_sid,measure_type_id,geographical_area_id,goods_nomenclature_item_id,validity_start_date,validity_end_date,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,ordernumber,additional_code_type_id,additional_code_id,additional_code_sid,reduction_indicator,export_refund_nomenclature_sid
C,0,3791781,552,KR,4809900020,2020-10-21T00:00:00,,3,R2015240,,,0,273,105076,,,,,,
C,0,3791782,552,KR,4811590020,2020-10-21T00:00:00,,3,R2015240,,,0,273,105125,,,,,,
C,0,3791783,552,KR,4811900020,2020-10-21T00:00:00,,3,R2015240,,,0,273,105126,,,,,,
C,0,3792874,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,A,886,10770,,
C,0,3792875,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,A,887,12405,,
C,0,3792876,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,A,888,10772,,
C,0,3792877,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,A,889,10903,,
C,0,3792904,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,A,999,5433,,
C,0,3792878,552,CN,2008305500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33839,,C,528,13108,,
C,0,3792879,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,A,886,10770,,
C,0,3792880,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,A,887,12405,,
C,0,3792881,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,A,888,10772,,
C,0,3792882,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,A,889,10903,,
C,0,3792905,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,A,999,5433,,
C,0,3792883,552,CN,2008307500,2020-10-23T00:00:00,,3,R2015340,,,0,439,33849,,C,528,13108,,
C,0,3792884,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,A,886,10770,,
C,0,3792885,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,A,887,12405,,
C,0,3792886,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,A,888,10772,,
C,0,3792887,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,A,889,10903,,
C,0,3792906,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,A,999,5433,,
C,0,3792888,552,CN,2008309061,2020-10-23T00:00:00,,3,R2015340,,,0,439,89157,,C,528,13108,,
C,0,3792889,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,A,886,10770,,
C,0,3792890,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,A,887,12405,,
C,0,3792891,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,A,888,10772,,
C,0,3792892,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,A,889,10903,,
C,0,3792907,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,A,999,5433,,
C,0,3792893,552,CN,2008309063,2020-10-23T00:00:00,,3,R2015340,,,0,439,89158,,C,528,13108,,
C,0,3792894,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,A,886,10770,,
C,0,3792895,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,A,887,12405,,
C,0,3792896,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,A,888,10772,,
C,0,3792897,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,A,889,10903,,
C,0,3792908,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,A,999,5433,,
C,0,3792898,552,CN,2008309065,2020-10-23T00:00:00,,3,R2015340,,,0,439,89159,,C,528,13108,,
C,0,3792899,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,A,886,10770,,
C,0,3792900,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,A,887,12405,,
C,0,3792901,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,A,888,10772,,
C,0,3792902,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,A,889,10903,,
C,0,3792909,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,A,999,5433,,
C,0,3792903,552,CN,2008309067,2020-10-23T00:00:00,,3,R2015340,,,0,439,89160,,C,528,13108,,
C,0,3792911,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,A,886,10770,,
C,0,3792912,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,A,887,12405,,
C,0,3792913,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,A,888,10772,,
C,0,3792914,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,A,889,10903,,
C,0,3792910,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,A,999,5433,,
C,0,3792915,552,CN,2008309069,2020-10-23T00:00:00,,3,R2015340,,,0,439,89161,,C,528,13108,,
